t,lat,lon,el
1687602266.000000,-12.772022,45.288121,21.778000
1687602267.000000,-12.772020,45.288125,21.788000
1687602268.000000,-12.772019,45.288129,21.784000
1687602269.000000,-12.772017,45.288134,21.761000
1687602270.000000,-12.772016,45.288138,21.780000
1687602271.000000,-12.772014,45.288143,21.784000
1687602272.000000,-12.772012,45.288148,21.779000
1687602273.000000,-12.772010,45.288153,21.774000
1687602274.000000,-12.772008,45.288158,21.787000
1687602275.000000,-12.772007,45.288163,21.780000
1687602276.000000,-12.772005,45.288169,21.773000
1687602277.000000,-12.772003,45.288174,21.775000
1687602278.000000,-12.772001,45.288179,21.786000
1687602279.000000,-12.771999,45.288184,21.784000
1687602280.000000,-12.771997,45.288189,21.790000
1687602281.000000,-12.771996,45.288194,21.784000
1687602282.000000,-12.771994,45.288199,21.782000
1687602283.000000,-12.771991,45.288204,21.778000
1687602284.000000,-12.771989,45.288209,21.779000
1687602285.000000,-12.771987,45.288215,21.780000
1687602286.000000,-12.771984,45.288220,21.782000
1687602287.000000,-12.771982,45.288226,21.770000
1687602288.000000,-12.771980,45.288231,21.773000
1687602289.000000,-12.771978,45.288236,21.788000
1687602290.000000,-12.771975,45.288242,21.788000
1687602291.000000,-12.771973,45.288247,21.783000
1687602292.000000,-12.771971,45.288252,21.786000
1687602293.000000,-12.771968,45.288257,21.781000
1687602294.000000,-12.771966,45.288262,21.787000
1687602295.000000,-12.771964,45.288268,21.784000
1687602296.000000,-12.771962,45.288273,21.785000
1687602297.000000,-12.771960,45.288278,21.779000
1687602298.000000,-12.771957,45.288282,21.781000
1687602299.000000,-12.771955,45.288287,21.781000
1687602300.000000,-12.771953,45.288292,21.776000
1687602301.000000,-12.771952,45.288297,21.776000
1687602302.000000,-12.771950,45.288301,21.782000
1687602303.000000,-12.771949,45.288305,21.780000
1687602304.000000,-12.771947,45.288310,21.781000
1687602305.000000,-12.771945,45.288314,21.779000
1687602306.000000,-12.771944,45.288320,21.779000
1687602307.000000,-12.771942,45.288325,21.784000
1687602308.000000,-12.771941,45.288329,21.780000
1687602309.000000,-12.771940,45.288333,21.787000
1687602310.000000,-12.771939,45.288337,21.807000
1687602311.000000,-12.771938,45.288342,21.779000
1687602312.000000,-12.771937,45.288346,21.794000
1687602313.000000,-12.771937,45.288351,21.791000
1687602314.000000,-12.771936,45.288356,21.788000
1687602315.000000,-12.771936,45.288360,21.785000
1687602316.000000,-12.771936,45.288363,21.778000
1687602317.000000,-12.771936,45.288366,21.776000
1687602318.000000,-12.771936,45.288369,21.780000
1687602319.000000,-12.771935,45.288373,21.776000
1687602320.000000,-12.771934,45.288376,21.774000
1687602321.000000,-12.771934,45.288379,21.775000
1687602322.000000,-12.771933,45.288382,21.786000
1687602323.000000,-12.771932,45.288385,21.781000
1687602324.000000,-12.771931,45.288388,21.784000
1687602325.000000,-12.771930,45.288390,21.786000
1687602326.000000,-12.771929,45.288393,21.779000
1687602327.000000,-12.771927,45.288395,21.789000
1687602328.000000,-12.771926,45.288397,21.778000
1687602329.000000,-12.771925,45.288400,21.780000
1687602330.000000,-12.771924,45.288401,21.782000
1687602331.000000,-12.771923,45.288403,21.791000
1687602332.000000,-12.771921,45.288405,21.784000
1687602333.000000,-12.771920,45.288407,21.777000
1687602334.000000,-12.771918,45.288408,21.757000
1687602335.000000,-12.771917,45.288410,21.772000
1687602336.000000,-12.771915,45.288411,21.777000
1687602337.000000,-12.771913,45.288413,21.780000
1687602338.000000,-12.771911,45.288414,21.769000
1687602339.000000,-12.771909,45.288416,21.774000
1687602340.000000,-12.771907,45.288418,21.779000
1687602341.000000,-12.771906,45.288419,21.781000
1687602342.000000,-12.771904,45.288420,21.784000
