t,d
1687686774.938926,1.920000
1687686774.938926,1.920000
1687686774.938926,1.920000
1687686775.497321,1.930000
1687686775.497321,1.930000
1687686775.497321,1.930000
1687686776.054435,1.940000
1687686776.054435,1.940000
1687686776.054435,1.940000
1687686776.61275,1.930000
1687686776.61275,1.930000
1687686776.61275,1.930000
1687686777.169802,1.940000
1687686777.169802,1.940000
1687686777.169802,1.940000
1687686777.728187,1.940000
1687686777.728187,1.940000
1687686777.728187,1.940000
1687686778.285179,1.950000
1687686778.285179,1.950000
1687686778.285179,1.950000
1687686778.843575,1.950000
1687686778.843575,1.950000
1687686778.843575,1.950000
1687686779.400623,1.960000
1687686779.400623,1.960000
1687686779.400623,1.960000
1687686779.958935,1.980000
1687686779.958935,1.980000
1687686779.958935,1.980000
1687686780.516109,1.950000
1687686780.516109,1.950000
1687686780.516109,1.950000
1687686781.07443,1.960000
1687686781.07443,1.960000
1687686781.07443,1.960000
1687686781.631479,1.970000
1687686781.631479,1.970000
1687686781.631479,1.970000
1687686782.189803,1.940000
1687686782.189803,1.940000
1687686782.189803,1.940000
1687686782.746852,1.940000
1687686782.746852,1.940000
1687686782.746852,1.940000
1687686783.305179,1.960000
1687686783.305179,1.960000
1687686783.305179,1.960000
1687686783.862306,1.980000
1687686783.862306,1.980000
1687686783.862306,1.980000
1687686784.420697,1.970000
1687686784.420697,1.970000
1687686784.420697,1.970000
1687686784.977683,2.000000
1687686784.977683,2.000000
1687686784.977683,2.000000
1687686785.536073,2.040000
1687686785.536073,2.040000
1687686785.536073,2.040000
1687686786.093055,2.130000
1687686786.093055,2.130000
1687686786.093055,2.130000
1687686786.651458,2.040000
1687686786.651458,2.040000
1687686786.651458,2.040000
1687686787.208556,2.090000
1687686787.208556,2.090000
1687686787.208556,2.090000
1687686787.766825,2.050000
1687686787.766825,2.050000
1687686787.766825,2.050000
1687686788.323929,2.070000
1687686788.323929,2.070000
1687686788.323929,2.070000
1687686788.882305,2.050000
1687686788.882305,2.050000
1687686788.882305,2.050000
1687686789.439321,2.070000
1687686789.439321,2.070000
1687686789.439321,2.070000
1687686789.997679,2.070000
1687686789.997679,2.070000
1687686789.997679,2.070000
1687686790.554854,2.060000
1687686790.554854,2.060000
1687686790.554854,2.060000
1687686791.113056,2.080000
1687686791.113056,2.080000
1687686791.113056,2.080000
1687686791.670205,2.090000
1687686791.670205,2.090000
1687686791.670205,2.090000
1687686792.228556,2.080000
1687686792.228556,2.080000
1687686792.228556,2.080000
1687686792.785571,2.090000
1687686792.785571,2.090000
1687686792.785571,2.090000
1687686793.343944,2.090000
1687686793.343944,2.090000
1687686793.343944,2.090000
1687686793.901063,2.090000
1687686793.901063,2.090000
1687686793.901063,2.090000
1687686794.459448,2.180000
1687686794.459448,2.180000
1687686794.459448,2.180000
1687686795.016435,2.110000
1687686795.016435,2.110000
1687686795.016435,2.110000
1687686795.574862,2.080000
1687686795.574862,2.080000
1687686795.574862,2.080000
1687686796.131804,2.120000
1687686796.131804,2.120000
1687686796.131804,2.120000
1687686796.690206,2.150000
1687686796.690206,2.150000
1687686796.690206,2.150000
1687686797.247308,2.170000
1687686797.247308,2.170000
1687686797.247308,2.170000
1687686797.805564,2.170000
1687686797.805564,2.170000
1687686797.805564,2.170000
1687686798.362692,2.160000
1687686798.362692,2.160000
1687686798.362692,2.160000
1687686798.921056,2.190000
1687686798.921056,2.190000
1687686798.921056,2.190000
1687686799.47809,2.170000
1687686799.47809,2.170000
1687686799.47809,2.170000
1687686800.036429,2.170000
1687686800.036429,2.170000
1687686800.036429,2.170000
1687686800.593584,2.190000
1687686800.593584,2.190000
1687686800.593584,2.190000
1687686801.151804,2.200000
1687686801.151804,2.200000
1687686801.151804,2.200000
1687686801.709038,2.210000
1687686801.709038,2.210000
1687686801.709038,2.210000
1687686802.267315,2.230000
1687686802.267315,2.230000
1687686802.267315,2.230000
1687686802.82432,2.230000
1687686802.82432,2.230000
1687686802.82432,2.230000
1687686803.382701,2.290000
1687686803.382701,2.290000
1687686803.382701,2.290000
1687686803.939813,2.260000
1687686803.939813,2.260000
1687686803.939813,2.260000
1687686804.49806,2.270000
1687686804.49806,2.270000
1687686804.49806,2.270000
1687686805.055187,2.250000
1687686805.055187,2.250000
1687686805.055187,2.250000
1687686805.613592,2.280000
1687686805.613592,2.280000
1687686805.613592,2.280000
1687686806.170564,2.270000
1687686806.170564,2.270000
1687686806.170564,2.270000
1687686806.728996,2.270000
1687686806.728996,2.270000
1687686806.728996,2.270000
1687686807.286084,2.280000
1687686807.286084,2.280000
1687686807.286084,2.280000
1687686807.844668,2.330000
1687686807.844668,2.330000
1687686807.844668,2.330000
1687686808.401446,2.300000
1687686808.401446,2.300000
1687686808.401446,2.300000
1687686808.959809,2.310000
1687686808.959809,2.310000
1687686808.959809,2.310000
1687686809.516848,2.290000
1687686809.516848,2.290000
1687686809.516848,2.290000
1687686810.075199,2.320000
1687686810.075199,2.320000
1687686810.075199,2.320000
1687686810.632344,2.330000
1687686810.632344,2.330000
1687686810.632344,2.330000
1687686811.190559,2.290000
1687686811.190559,2.290000
1687686811.190559,2.290000
1687686811.747725,2.290000
1687686811.747725,2.290000
1687686811.747725,2.290000
1687686812.30605,2.270000
1687686812.30605,2.270000
1687686812.30605,2.270000
1687686812.863128,2.290000
1687686812.863128,2.290000
1687686812.863128,2.290000
1687686813.421513,2.280000
1687686813.421513,2.280000
1687686813.421513,2.280000
1687686813.978565,2.260000
1687686813.978565,2.260000
1687686813.978565,2.260000
1687686814.536829,2.290000
1687686814.536829,2.290000
1687686814.536829,2.290000
1687686815.09393,2.260000
1687686815.09393,2.260000
1687686815.09393,2.260000
1687686815.652338,2.300000
1687686815.652338,2.300000
1687686815.652338,2.300000
1687686816.209311,2.270000
1687686816.209311,2.270000
1687686816.209311,2.270000
1687686816.7677,2.280000
1687686816.7677,2.280000
1687686816.7677,2.280000
1687686817.324805,2.280000
1687686817.324805,2.280000
1687686817.324805,2.280000
1687686817.883067,2.340000
1687686817.883067,2.340000
1687686817.883067,2.340000
1687686818.440234,2.280000
1687686818.440234,2.280000
1687686818.440234,2.280000
1687686818.998563,2.280000
1687686818.998563,2.280000
1687686818.998563,2.280000
1687686819.555583,2.260000
1687686819.555583,2.260000
1687686819.555583,2.260000
1687686820.113929,2.240000
1687686820.113929,2.240000
1687686820.113929,2.240000
1687686820.670966,2.280000
1687686820.670966,2.280000
1687686820.670966,2.280000
1687686821.229308,2.310000
1687686821.229308,2.310000
1687686821.229308,2.310000
1687686821.786451,2.290000
1687686821.786451,2.290000
1687686821.786451,2.290000
1687686822.344819,2.340000
1687686822.344819,2.340000
1687686822.344819,2.340000
1687686822.901817,2.330000
1687686822.901817,2.330000
1687686822.901817,2.330000
1687686823.460209,2.320000
1687686823.460209,2.320000
1687686823.460209,2.320000
1687686824.017337,2.380000
1687686824.017337,2.380000
1687686824.017337,2.380000
1687686824.575641,2.340000
1687686824.575641,2.340000
1687686824.575641,2.340000
1687686825.132681,2.320000
1687686825.132681,2.320000
1687686825.132681,2.320000
1687686825.691087,2.340000
1687686825.691087,2.340000
1687686825.691087,2.340000
1687686826.248058,2.340000
1687686826.248058,2.340000
1687686826.248058,2.340000
1687686826.806446,2.370000
1687686826.806446,2.370000
1687686826.806446,2.370000
1687686827.363578,2.340000
1687686827.363578,2.340000
1687686827.363578,2.340000
1687686827.921816,2.340000
1687686827.921816,2.340000
1687686827.921816,2.340000
1687686828.478943,2.350000
1687686828.478943,2.350000
1687686828.478943,2.350000
1687686829.037308,2.360000
1687686829.037308,2.360000
1687686829.037308,2.360000
1687686829.594353,2.360000
1687686829.594353,2.360000
1687686829.594353,2.360000
1687686830.152686,2.360000
1687686830.152686,2.360000
1687686830.152686,2.360000
1687686830.709739,2.340000
1687686830.709739,2.340000
1687686830.709739,2.340000
1687686831.268065,2.320000
1687686831.268065,2.320000
1687686831.268065,2.320000
1687686831.825196,2.330000
1687686831.825196,2.330000
1687686831.825196,2.330000
1687686832.383587,2.330000
1687686832.383587,2.330000
1687686832.383587,2.330000
1687686832.940567,2.360000
1687686832.940567,2.360000
1687686832.940567,2.360000
1687686833.498945,2.330000
1687686833.498945,2.330000
1687686833.498945,2.330000
1687686834.055938,2.310000
1687686834.055938,2.310000
1687686834.055938,2.310000
1687686834.614325,2.320000
1687686834.614325,2.320000
1687686834.614325,2.320000
1687686835.171463,2.330000
1687686835.171463,2.330000
1687686835.171463,2.330000
1687686835.729856,2.330000
1687686835.729856,2.330000
1687686835.729856,2.330000
1687686836.286806,2.310000
1687686836.286806,2.310000
1687686836.286806,2.310000
1687686836.845218,2.330000
1687686836.845218,2.330000
1687686836.845218,2.330000
1687686837.402195,2.340000
1687686837.402195,2.340000
1687686837.402195,2.340000
1687686837.960563,2.340000
1687686837.960563,2.340000
1687686837.960563,2.340000
1687686838.517707,2.420000
1687686838.517707,2.420000
1687686838.517707,2.420000
1687686839.076056,2.420000
1687686839.076056,2.420000
1687686839.076056,2.420000
1687686839.633095,2.390000
1687686839.633095,2.390000
1687686839.633095,2.390000
1687686840.191441,2.420000
1687686840.191441,2.420000
1687686840.191441,2.420000
1687686840.748497,2.430000
1687686840.748497,2.430000
1687686840.748497,2.430000
1687686841.306809,2.420000
1687686841.306809,2.420000
1687686841.306809,2.420000
1687686841.863981,2.460000
1687686841.863981,2.460000
1687686841.863981,2.460000
1687686842.422327,2.470000
1687686842.422327,2.470000
1687686842.422327,2.470000
1687686842.979314,2.430000
1687686842.979314,2.430000
1687686842.979314,2.430000
1687686843.537699,2.480000
1687686843.537699,2.480000
1687686843.537699,2.480000
1687686844.094683,2.470000
1687686844.094683,2.470000
1687686844.094683,2.470000
1687686844.653093,2.440000
1687686844.653093,2.440000
1687686844.653093,2.440000
1687686845.210178,2.490000
1687686845.210178,2.490000
1687686845.210178,2.490000
1687686845.768447,2.500000
1687686845.768447,2.500000
1687686845.768447,2.500000
1687686846.325591,2.510000
1687686846.325591,2.510000
1687686846.325591,2.510000
1687686846.883938,2.570000
1687686846.883938,2.570000
1687686846.883938,2.570000
1687686847.440946,2.630000
1687686847.440946,2.630000
1687686847.440946,2.630000
1687686847.999307,2.630000
1687686847.999307,2.630000
1687686847.999307,2.630000
1687686848.556493,2.670000
1687686848.556493,2.670000
1687686848.556493,2.670000
1687686849.114693,2.670000
1687686849.114693,2.670000
1687686849.114693,2.670000
1687686849.671852,2.700000
1687686849.671852,2.700000
1687686849.671852,2.700000
1687686850.230179,2.710000
1687686850.230179,2.710000
1687686850.230179,2.710000
1687686850.787187,2.780000
1687686850.787187,2.780000
1687686850.787187,2.780000
1687686851.345575,2.790000
1687686851.345575,2.790000
1687686851.345575,2.790000
1687686851.902731,2.750000
1687686851.902731,2.750000
1687686851.902731,2.750000
1687686852.46095,2.740000
1687686852.46095,2.740000
1687686852.46095,2.740000
1687686853.018066,2.710000
1687686853.018066,2.710000
1687686853.018066,2.710000
1687686853.576451,2.780000
1687686853.576451,2.780000
1687686853.576451,2.780000
1687686854.133448,2.720000
1687686854.133448,2.720000
1687686854.133448,2.720000
1687686854.691858,2.770000
1687686854.691858,2.770000
1687686854.691858,2.770000
1687686855.248932,2.770000
1687686855.248932,2.770000
1687686855.248932,2.770000
1687686855.807195,2.810000
1687686855.807195,2.810000
1687686855.807195,2.810000
1687686856.36433,2.820000
1687686856.36433,2.820000
1687686856.36433,2.820000
1687686856.92269,2.830000
1687686856.92269,2.830000
1687686856.92269,2.830000
1687686857.479702,2.870000
